Time,X Coord,Y Coord,Radius,Framenumber
1578310083.3704164,36.5,11.0,28.22249984741211,914
1578310083.378412,36.5,11.0,28.22249984741211,914
1578310083.3844085,36.5,14.0,28.28437042236328,914
1578310083.391388,36.5,14.0,28.28437042236328,914
1578310083.3964033,36.5,9.0,27.807861328125,914
1578310083.4023795,36.5,9.0,27.807861328125,914
1578310083.4093957,36.5,9.0,27.807861328125,914
1578310083.415391,37.5,7.0,26.7349910736084,914
1578310083.4233687,37.5,7.0,26.7349910736084,914
1578310083.4303823,36.5,11.0,25.811918258666992,914
1578310083.436362,36.5,11.0,25.811918258666992,914
1578310083.4433746,37.5,12.0,26.23945426940918,914
1578310083.450371,37.5,12.0,26.23945426940918,914
1578310083.4573483,37.5,12.0,26.23945426940918,914
1578310083.463359,36.5,8.0,26.80028533935547,914
1578310083.4703412,36.5,8.0,26.80028533935547,914
1578310083.477356,37.5,10.0,26.39151954650879,914
1578310083.4823341,37.5,10.0,26.39151954650879,914
1578310083.4903305,37.5,10.0,26.39151954650879,914
1578310083.497327,35.5,13.0,26.59438133239746,914
1578310083.5043225,35.5,13.0,26.59438133239746,914
1578310083.511337,35.5,9.0,28.28437042236328,914
1578310083.5193148,35.5,9.0,28.28437042236328,914
1578310083.5283272,36.5,9.0,28.71420669555664,914
1578310083.5373032,36.5,9.0,28.71420669555664,914
1578310083.5443015,36.5,13.0,27.728199005126953,914
1578310083.553313,36.5,13.0,27.728199005126953,914
1578310083.559291,37.5,12.0,26.80028533935547,914
1578310083.5662866,37.5,12.0,26.80028533935547,914
1578310083.5732827,36.5,8.0,26.114681243896484,914
1578310083.5802789,36.5,8.0,26.114681243896484,914
1578310083.5872746,37.5,11.0,26.177457809448242,914
1578310083.5942717,37.5,11.0,26.177457809448242,914
1578310083.6022658,37.5,11.0,26.177457809448242,914
1578310083.6082814,36.5,12.0,26.234619140625,914
1578310083.6152592,36.5,12.0,26.234619140625,914
1578310083.6222737,36.5,8.0,27.663251876831055,914
1578310083.6272519,36.5,8.0,27.663251876831055,914
1578310083.6342483,36.5,9.0,28.044706344604492,914
1578310083.641245,36.5,9.0,28.044706344604492,914
1578310083.6482418,36.5,9.0,28.044706344604492,914
1578310083.6552556,36.5,12.0,28.049335479736328,914
1578310083.6612327,36.5,12.0,28.049335479736328,914
1578310083.6682286,36.5,10.0,28.65755844116211,914
1578310083.6747415,36.5,10.0,28.65755844116211,914
1578310083.6817555,36.5,8.0,28.7186279296875,914
1578310083.6887329,36.5,8.0,28.7186279296875,914
1578310083.696747,36.5,8.0,28.7186279296875,914
1578310083.701726,36.5,11.0,27.372529983520508,914
1578310083.7077222,36.5,11.0,27.372529983520508,914
1578310083.7147205,36.5,11.0,27.663251876831055,914
1578310083.7217333,36.5,11.0,27.663251876831055,914
1578310083.7297106,36.5,11.0,27.663251876831055,914
1578310083.735706,36.5,7.0,27.372529983520508,914
1578310083.7437024,36.5,7.0,27.372529983520508,914
1578310083.749717,36.5,9.0,27.299474716186523,914
1578310083.7566946,36.5,9.0,27.299474716186523,914
1578310083.7627096,36.5,12.0,26.575464248657227,914
1578310083.7687063,36.5,12.0,26.575464248657227,914
1578310083.776702,36.5,12.0,26.575464248657227,914
1578310083.7836792,37.5,9.0,26.884248733520508,914
1578310083.7896774,37.5,9.0,26.884248733520508,914
1578310083.7966852,37.5,9.0,26.278230667114258,914
1578310083.802683,37.5,9.0,26.278230667114258,914
1578310083.809683,37.5,9.0,26.278230667114258,914
1578310083.8146617,38.5,12.0,25.811918258666992,914
1578310083.8216574,38.5,12.0,25.811918258666992,914
1578310083.8296535,37.5,13.0,25.895267486572266,914
1578310083.8366501,37.5,13.0,25.895267486572266,914
1578310083.8436449,37.5,10.0,28.302406311035156,914
1578310083.8496609,37.5,10.0,28.302406311035156,914
1578310083.8576374,37.5,10.0,28.302406311035156,914
1578310083.863634,37.5,13.0,26.386648178100586,914
1578310083.8706305,37.5,13.0,26.386648178100586,914
1578310083.8776262,37.5,14.0,27.865848541259766,914
1578310083.882623,37.5,14.0,27.865848541259766,914
1578310083.8906188,37.5,14.0,27.865848541259766,914
1578310083.895617,37.5,11.0,27.95094871520996,914
1578310083.9036112,37.5,11.0,27.95094871520996,914
1578310083.909608,37.5,10.0,26.481407165527344,914
1578310083.915604,37.5,10.0,26.481407165527344,914
1578310083.922601,37.5,10.0,26.481407165527344,914
1578310083.9285975,37.5,15.0,26.305992126464844,914
1578310083.9355934,37.5,15.0,26.305992126464844,914
1578310083.94159,36.5,15.0,28.235992431640625,914
1578310083.9465868,36.5,15.0,28.235992431640625,914
1578310083.9545817,36.5,15.0,28.235992431640625,914
1578310083.9605792,37.5,12.0,26.476503372192383,914
1578310083.9695737,37.5,12.0,26.476503372192383,914
1578310083.9745712,38.5,14.0,26.773012161254883,914
1578310083.9815674,38.5,14.0,26.773012161254883,914
1578310083.9885626,37.5,15.0,25.495197296142578,914
1578310083.9945595,37.5,15.0,25.495197296142578,914
1578310084.0015554,37.5,15.0,25.495197296142578,914
1578310084.007552,37.5,11.0,27.29478645324707,914
1578310084.0155485,37.5,11.0,27.29478645324707,914
1578310084.0215442,37.5,12.0,28.35940170288086,914
1578310084.027541,37.5,12.0,28.35940170288086,914
1578310084.034537,37.5,14.0,26.879459381103516,914
1578310084.0405333,37.5,14.0,27.789485931396484,914
1578310084.0485296,37.5,14.0,27.789485931396484,914
1578310084.0555255,37.5,12.0,27.95094871520996,914
1578310084.0615325,37.5,12.0,27.95094871520996,914
1578310084.0665188,37.5,12.0,26.96767234802246,914
1578310084.0725155,37.5,12.0,26.96767234802246,914
1578310084.0815103,37.5,12.0,26.96767234802246,914
1578310084.0875072,36.5,15.0,27.865848541259766,914
1578310084.093503,36.5,15.0,27.865848541259766,914
1578310084.0994997,37.5,16.0,26.879459381103516,914
1578310084.1054964,37.5,16.0,26.879459381103516,914
1578310084.1134923,37.5,16.0,26.879459381103516,914
1578310084.1184893,37.5,14.0,26.114707946777344,914
1578310084.1234865,37.5,14.0,26.114707946777344,914
1578310084.130483,37.5,15.0,27.66055679321289,914
1578310084.1354802,37.5,15.0,27.66055679321289,914
1578310084.1424763,37.5,15.0,27.66055679321289,914
1578310084.1504712,37.5,15.0,26.96767234802246,914
1578310084.1564686,37.5,15.0,26.96767234802246,914
1578310084.1624646,37.5,12.0,26.476503372192383,914
1578310084.1684616,37.5,12.0,26.476503372192383,914
1578310084.1764567,37.5,12.0,26.476503372192383,914
1578310084.1814542,36.5,12.0,28.044706344604492,914
1578310084.1884499,36.5,12.0,28.044706344604492,914
1578310084.1944466,37.5,14.0,26.97248077392578,914
1578310084.201443,37.5,14.0,26.97248077392578,914
1578310084.2084389,37.5,14.0,26.97248077392578,914
1578310084.2154346,37.5,13.0,26.08649444580078,914
1578310084.2234304,37.5,13.0,26.08649444580078,914
1578310084.2304256,36.5,12.0,27.794082641601562,914
1578310084.2354226,36.5,12.0,27.794082641601562,914
1578310084.2424192,36.5,14.0,27.789485931396484,914
1578310084.2484152,37.5,15.0,26.879459381103516,914
1578310084.257411,37.5,15.0,26.879459381103516,914
1578310084.2624083,36.5,14.0,28.627155303955078,914
1578310084.2694035,36.5,14.0,28.627155303955078,914
1578310084.2754004,38.5,12.0,26.48345947265625,914
1578310084.2813964,38.5,12.0,26.48345947265625,914
1578310084.2893922,38.5,12.0,26.48345947265625,914
1578310084.2953887,37.5,13.0,28.35940170288086,914
1578310084.3023849,37.5,13.0,28.35940170288086,914
1578310084.308381,36.5,14.0,27.29478645324707,914
1578310084.3143778,36.5,14.0,27.29478645324707,914
1578310084.3223739,36.5,14.0,27.29478645324707,914
1578310084.3273704,38.5,12.0,26.124832153320312,914
1578310084.3343668,38.5,12.0,26.124832153320312,914
1578310084.3403633,37.5,13.0,28.22249984741211,914
1578310084.3463597,37.5,13.0,28.22249984741211,914
1578310084.3533561,37.5,13.0,28.22249984741211,914
1578310084.3593526,37.5,14.0,25.985671997070312,914
1578310084.3663502,37.5,14.0,25.985671997070312,914
1578310084.3733454,37.5,14.0,27.23151397705078,914
1578310084.3803415,37.5,14.0,27.23151397705078,914
1578310084.387337,38.5,14.0,26.234619140625,914
1578310084.393334,38.5,14.0,26.234619140625,914
1578310084.4013298,38.5,14.0,26.234619140625,914
1578310084.4083252,36.5,14.0,28.28437042236328,914
1578310084.4153214,36.5,14.0,28.28437042236328,914
1578310084.4243164,37.5,14.0,27.13838768005371,914
1578310084.4323123,37.5,14.0,27.13838768005371,914
1578310084.4393075,38.5,13.0,27.372529983520508,914
1578310084.4473035,38.5,13.0,27.372529983520508,914
1578310084.4542987,37.5,13.0,28.6357421875,914
1578310084.4612951,37.5,13.0,28.6357421875,914
1578310084.4672909,37.5,13.0,28.044706344604492,914
1578310084.4742873,37.5,13.0,28.044706344604492,914
1578310084.4822824,37.5,13.0,28.044706344604492,914
1578310084.48728,37.5,12.0,28.28437042236328,914
1578310084.4952755,37.5,12.0,28.28437042236328,914
1578310084.5022717,37.5,11.0,26.96767234802246,914
1578310084.5072687,37.5,11.0,26.96767234802246,914
1578310084.5142643,36.5,13.0,25.914030075073242,914
1578310084.520261,36.5,13.0,25.914030075073242,914
1578310084.5272577,36.5,13.0,25.914030075073242,914
1578310084.5332534,37.5,12.0,26.17742919921875,914
1578310084.53925,37.5,12.0,26.17742919921875,914
1578310084.5462463,37.5,12.0,27.45915985107422,914
1578310084.5522428,38.5,11.0,26.19647216796875,914
1578310084.5602386,38.5,11.0,26.19647216796875,914
1578310084.5652351,37.5,12.0,28.28437042236328,914
1578310084.5718331,37.5,12.0,28.28437042236328,914
1578310084.5778224,38.5,12.0,27.789485931396484,914
1578310084.583819,38.5,12.0,27.789485931396484,914
1578310084.5918148,38.5,12.0,27.789485931396484,914
1578310084.597811,38.5,12.0,26.476503372192383,914
1578310084.6048071,38.5,12.0,26.476503372192383,914
1578310084.6108043,38.5,12.0,26.476503372192383,914
1578310084.615801,38.5,12.0,26.476503372192383,914
1578310084.6237962,38.5,12.0,26.476503372192383,914
1578310084.628793,37.5,12.0,26.96767234802246,914
1578310084.6347897,37.5,12.0,26.96767234802246,914
1578310084.6427858,38.5,12.0,27.72650718688965,914
1578310084.648782,37.5,12.0,27.22600555419922,914
1578310084.6547787,37.5,12.0,27.22600555419922,914
1578310084.6617746,37.5,13.0,26.879459381103516,914
1578310084.667771,37.5,13.0,26.879459381103516,914
1578310084.6737676,37.5,13.0,27.95094871520996,914
1578310084.679764,37.5,13.0,27.95094871520996,914
1578310084.6867607,37.5,13.0,27.95094871520996,914
1578310084.6937563,37.5,12.0,27.72650718688965,914
1578310084.6987534,37.5,12.0,27.72650718688965,914
